Papadopoulos,Παπαδόπουλος
Floros,Φλώρος
Fragkos,Φράγκος
Mavridou,Μαυρίδου
Paraskevas,Παρασκευάς
Sideri,Σιδέρη
Roussou,Ρούσσου
Roumeliotis,Ρουμελιώτης
Tsoukalas,Τσουκαλάς
Galani,Γαλάνη
Drosos,Δρόσος
Lampropoulou,Λαμπροπούλου
Kosmidis,Κοσμίδης
Loukas,Λουκάς
Alexandris,Αλεξανδρής
Pantazi,Πανταζή
Charalampidou,Χαραλαμπίδου
Kalyvas,Καλύβας
Sarri,Σαρρή
Argyropoulou,Αργυροπούλου
Papakostas,Παπακώστας
Kyriakidou,Κυριακίδου
Anastasiadou,Αναστασιάδου
Kokkinos,Κόκκινος
Stathopoulou,Σταθοπούλου
Anastasopoulou,Αναστασοπούλου
Stamoulis,Σταμούλης
Arvaniti,Αρβανίτη
Sotiropoulou,Σωτηροπούλου
Ziogas,Ζιώγας
Stamatis,Σταμάτης
Mouratidis,Μουρατίδης
Lazarou,Λαζάρου
Moustakas,Μουστάκας
Diamantopoulou,Διαμαντοπούλου
Vasilaki,Βασιλάκη
Dimos,Δήμος
Papoutsis,Παπουτσής
Fragkou,Φράγκου
Chalkias,Χαλκιάς
Zafeiropoulos,Ζαφειρόπουλος
Manolis,Μανώλης
Kyriakopoulou,Κυριακοπούλου
Georgakopoulou,Γεωργακοπούλου
Lekkas,Λέκκας
Andreadis,Ανδρεάδης
Chronopoulos,Χρονόπουλος
Papantoniou,Παπαντωνίου
Polyzos,Πολύζος
Savvidou,Σαββίδου
Petridou,Πετρίδου
Liapis,Λιάπης
Papandreou,Παπανδρέου
Emmanouil,Εμμανουήλ
Marinos,Μαρίνος
Bouras,Μπούρας
Emmanouilidis,Εμμανουηλίδης
Goulas,Γούλας
Angeli,Αγγελή
Tzimas,Τζίμας
Zacharopoulos,Ζαχαρόπουλος
Nikolakopoulos,Νικολακόπουλος
Kalantzis,Καλαντζής
Kollia,Κόλλια
Nikas,Νίκας
Drakopoulos,Δρακόπουλος
Michos,Μίχος
Vlachopoulos,Βλαχόπουλος
Tsekouras,Τσεκούρας
Daskalaki,Δασκαλάκη
Charalampous,Χαραλάμπους
Apostolakis,Αποστολάκης
Kalaitzis,Καλαϊτζής
Kalogirou,Καλογύρου
Nakos,Νάκος
Aslanidis,Ασλανίδης
Fotopoulou,Φωτοπούλου
Stamatakis,Σταματάκης
Koulouris,Κουλούρης
Liakos,Λιάκος
Konstantopoulou,Κωνσταντοπούλου
Dimitrakopoulou,Δημητρακοπούλου
Chatzopoulou,Χατζοπούλου
Kosmas,Κοσμάς
Eleftheriadou,Ελευθεριάδου
Grivas,Γρίβας
Oikonomidis,Οικονομίδης
Grigoriadou,Γρηγοριάδου
Karakostas,Καρακώστας
Psarras,Ψαρράς
Angelou,Αγγέλου
Tsolakis,Τσολάκης
Moschos,Μόσχος
Giannakis,Γιαννάκης
Giannakos,Γιαννάκος
Chatzidimitriou,Χατζηδημητρίου
Iosifidis,Ιωσηφίδης
Papamichail,Παπαμιχαήλ
Kanellopoulou,Κανελλοπούλου
Dimas,Δήμας
Zografos,Ζωγράφος
Kalogeropoulou,Καλογεροπούλου
Chatzinikolaou,Χατζηνικολάου
Voulgari,Βούλγαρη
Markakis,Μαρκάκης
Karagiannidis,Καραγιαννίδης
Stamos,Στάμος
Zafeiris,Ζαφείρης
Gkika,Γκίκα
Zachos,Ζάχος
Chatziioannou,Χατζηιωάννου
Symeonidou,Συμεωνίδου
Stefanidou,Στεφανίδου
Triantafyllidou,Τριανταφυλλίδου
Kritikou,Κρητικού
Stavridis,Σταυρίδης
Petraki,Πετράκη
Zafeiriou,Ζαφειρίου
Fotiou,Φωτίου
Dimitropoulou,Δημητροπούλου
Angelakis,Αγγελάκης
Vlachakis,Βλαχάκης
Kontogianni,Κοντογιάννη
Chatzidakis,Χατζηδάκης
Iliadou,Ηλιάδου
Karatzas,Καρατζάς
Kechagia,Κεχαγιά
Efthymiadis,Ευθυμιάδης
Vogiatzi,Βογιατζή
Katsoulis,Κατσούλης
Zerva,Ζέρβα
Stamatopoulou,Σταματοπούλου
Fotiadou,Φωτιάδου
Katsarou,Κατσαρού
Rizou,Ρίζου
Christidis,Χριστίδης
Kapsalis,Καψάλης
Maragkos,Μαραγκός
Drakos,Δράκος
Thanos,Θάνος
Karachalios,Καραχάλιος
Kostakis,Κωστάκης
Filippidis,Φιλιππίδης
Makridis,Μακρίδης
Sakkas,Σακκάς
Kostas,Κώστας
Zervos,Ζέρβος
Metaxas,Μεταξάς
Peppas,Πέππας
Koutras,Κούτρας
Liakopoulos,Λιακόπουλος
Adam,Αδάμ
Kourtis,Κούρτης
Ivanova,Ιβάνοβα
Kampouris,Καμπούρης
Karageorgiou,Καραγεωργίου
Thomas,Θωμάς
Mavroudis,Μαυρούδης
Chronis,Χρόνης
Manos,Μάνος
Bellos,Μπέλλος
Margariti,Μαργαρίτη
Pagonis,Παγώνης
Christoforidis,Χριστοφορίδης
Orfanos,Ορφανός
Paschalis,Πασχάλης
Karali,Καραλή
Ivanov,Ιβάνοφ
Oikonomopoulos,Οικονομόπουλος
Asimakopoulou,Ασημακοπούλου
Gkoumas,Γκούμας
Pantelidis,Παντελίδης
Alexandropoulos,Αλεξανδρόπουλος
Riga,Ρήγα
Simos,Σίμος
Adamidis,Αδαμίδης
Poulios,Πούλιος
Kefala,Κεφαλά
Papastergiou,Παπαστεργίου
Xanthopoulou,Ξανθοπούλου
Avramidou,Αβραμίδου
Sfakianakis,Σφακιανάκης
Maniatis,Μανιάτης
Lymperopoulos,Λυμπερόπουλος
Lappas,Λάππας
Bakalis,Μπακάλης
Zachariadis,Ζαχαριάδης
Tatsis,Τάτσης
Kyriazi,Κυριαζή
Lagos,Λαγός
Chousein,Χουσεΐν
Zacharakis,Ζαχαράκης
Mantas,Μαντάς
Orfanidis,Ορφανίδης
Muhammad,Μουχάμαντ
Karra,Καρρά
Sotiriadis,Σωτηριάδης
Spiliopoulos,Σπηλιόπουλος
Moschou,Μόσχου
Mavromatis,Μαυρομάτης
Kokkinou,Κοκκίνου
Arampatzi,Αραμπατζή
Theodorakis,Θεοδωράκης
Chasiotis,Χασιώτης
Charalampopoulos,Χαραλαμπόπουλος
Deligianni,Δεληγιάννη
Tsakiri,Τσακίρη
Kanakis,Κανάκης
Markopoulou,Μαρκοπούλου
Kokkalis,Κόκκαλης
Farmakis,Φαρμάκης
Chasan,Χασάν
Tsamis,Τσάμης
Argyris,Αργύρης
Arvanitakis,Αρβανιτάκης
Mitropoulou,Μητροπούλου
Papadatos,Παπαδάτος
Adamopoulou,Αδαμοπούλου
Drosou,Δρόσου
Logothetis,Λογοθέτης
Kotsis,Κότσης
Alexakis,Αλεξάκης
Chouliaras,Χουλιάρας
Galanopoulos,Γαλανόπουλος
Ilias,Ηλίας
Paschalidou,Πασχαλίδου
Karampelas,Καράμπελας
Angelidou,Αγγελίδου
Florou,Φλώρου
Papachristos,Παπαχρήστος
Chalkia,Χαλκιά
Alexandridis,Αλεξανδρίδης
Paterakis,Πατεράκης
Liolios,Λιόλιος
Terzis,Τερζής
Chiotis,Χιώτης
Zafeiropoulou,Ζαφειροπούλου
Karagkounis,Καραγκούνης
Tsironis,Τσιρώνης
Fragkoulis,Φραγκούλης
Theochari,Θεοχάρη
Tsoukala,Τσουκαλά
Nika,Νίκα
Papagianni,Παπαγιάννη
Xenos,Ξένος
Nanos,Νάνος
Kalogiannis,Καλογιάννης
Stathis,Στάθης
Kalaitzidis,Καλαϊτζίδης
Stergiopoulos,Στεργιόπουλος
Nomikos,Νομικός
Marinou,Μαρίνου
Ahmed,Αχμέντ
Karageorgos,Καραγεώργος
Douka,Δούκα
Iordanidis,Ιορδανίδης
Pavlopoulos,Παυλόπουλος
Gkogkos,Γκόγκος
Stamataki,Σταματάκη
Andrikopoulos,Ανδρικόπουλος
Karavasilis,Καραβασίλης
Pantazopoulos,Πανταζόπουλος
Christakis,Χριστάκης
Tsarouchas,Τσαρούχας
Tzikas,Τζίκας
Gkinis,Γκίνης
Raftopoulos,Ραφτόπουλος
Chronopoulou,Χρονοπούλου
Michas,Μίχας
Karathanasis,Καραθανάσης
Gkotsis,Γκότσης
Zois,Ζώης
Politi,Πολίτη
Giannouli,Γιαννούλη
Katsikas,Κατσίκας
Hoxha,Χότζα
Pantelis,Παντελής
Papakosta,Παπακώστα
Manousakis,Μανουσάκης
Kolovou,Κολοβού
Makrygiannis,Μακρυγιάννης
Michou,Μίχου
Charitos,Χαρίτος
Zisi,Ζήση
Lekka,Λέκκα
Stamati,Σταμάτη
Chatziantoniou,Χατζηαντωνίου
Tselios,Τσέλιος
Zacharopoulou,Ζαχαροπούλου
Mathioudakis,Μαθιουδάκης
Bakas,Μπάκας
Alexiadis,Αλεξιάδης
Moustafa,Μουστάφα
Manoli,Μανώλη
Kapetanakis,Καπετανάκης
Zacharias,Ζαχαρίας
Zografou,Ζωγράφου
Georgakis,Γεωργάκης
Zacharis,Ζάχαρης
Matthaiou,Ματθαίου
Spyridakis,Σπυριδάκης
Vlachopoulou,Βλαχοπούλου
Kaloudis,Καλούδης
Apostolaki,Αποστολάκη
Zormpas,Ζορμπάς
Machairas,Μαχαιράς
Papagiannopoulos,Παπαγιαννόπουλος
Karvounis,Καρβούνης
Kokkinis,Κοκκίνης
Papapostolou,Παπαποστόλου
Amanatidis,Αμανατίδης
Marinakis,Μαρινάκης
Markaki,Μαρκάκη
Chatzakis,Χατζάκης
Chatzikonstantinou,Χατζηκωνσταντίνου
Cela,Τσέλα
Zikos,Ζήκος
Gavriil,Γαβριήλ
Paschos,Πάσχος
Dedes,Δέδες
Kosmidou,Κοσμίδου
Tzortzis,Τζώρτζης
Mavropoulos,Μαυρόπουλος
Theodorakopoulos,Θεοδωρακόπουλος
Tsagkarakis,Τσαγκαράκης
Dimakis,Δημάκης
Yfantis,Υφαντής
Sigalas,Σιγάλας
Kiousis,Κιούσης
Mitrou,Μήτρου
Stefanakis,Στεφανάκης
Fragkiadakis,Φραγκιαδάκης
Gavalas,Γαβαλάς
Iosifidou,Ιωσηφίδου
Thomaidis,Θωμαΐδης
Giotis,Γιώτης
Paraskeva,Παρασκευά
Chatzivasileiou,Χατζηβασιλείου
Moustaka,Μουστάκα
Vafeiadis,Βαφειάδης
Iatrou,Ιατρού
Zervou,Ζέρβου
Prifti,Πρίφτη
Stamouli,Σταμούλη
Kosma,Κοσμά
Grammenos,Γραμμένος
Argyros,Αργυρός
Skouras,Σκούρας
Karatza,Καρατζά
Xenakis,Ξενάκης
Lianos,Λιανός
Alexandrou,Αλεξάνδρου
Kyriakakis,Κυριακάκης
Mavrakis,Μαυράκης
Oikonomidou,Οικονομίδου
Tsolakidis,Τσολακίδης
Moraiti,Μωραΐτη
Sali,Σαλή
Baltas,Μπαλτάς
Stavroulakis,Σταυρουλάκης
Gavriilidis,Γαβριηλίδης
Louka,Λουκά
Vagenas,Βαγενάς
Lamprakis,Λαμπράκης
Alexandri,Αλεξανδρή
Maragkou,Μαράγκου
Panos,Πάνος
Poulos,Πούλος
Dima,Δήμα
Palaiologou,Παλαιολόγου
Nomikou,Νομικού
Karakatsanis,Καρακατσάνης
Topalidis,Τοπαλίδης
Christodoulakis,Χριστοδουλάκης
Kyritsi,Κυρίτση
Koulouri,Κουλούρη
Simou,Σίμου
Papa,Παπά
Michalakis,Μιχαλάκης
Lymperis,Λυμπέρης
Karamanis,Καραμάνης
Chatzigiannis,Χατζηγιάννης
Kouris,Κούρης
Emmanouilidou,Εμμανουηλίδου
Avgerinos,Αυγερινός
Maroulis,Μαρούλης
Andriopoulos,Ανδριόπουλος
Exarchos,Έξαρχος
Kitsos,Κίτσος
Giannakou,Γιαννάκου
Fragkakis,Φραγκάκης
Chalkiadakis,Χαλκιαδάκης
Gkiokas,Γκιόκας
Drakou,Δράκου
Rallis,Ράλλης
Karaiskos,Καραΐσκος
Papoutsi,Παπουτσή
Pagoni,Παγώνη
Psomas,Ψωμάς
Kalaitzi,Καλαϊτζή
Panopoulos,Πανόπουλος
Savvas,Σάββας
Liapi,Λιάπη
Memet,Μεμέτ
Giannaki,Γιαννάκη
Gkouma,Γκούμα
Liakou,Λιάκου
Kotoulas,Κωτούλας
Tsakiridis,Τσακιρίδης
Karanikolas,Καρανικόλας
Vrettos,Βρεττός
Aslanidou,Ασλανίδου
Kavvadias,Καββαδίας
Tsekoura,Τσεκούρα
Karypidis,Καρυπίδης
Androulakis,Ανδρουλάκης
Drakopoulou,Δρακοπούλου
Souliotis,Σουλιώτης
Kalantzi,Καλαντζή
Mitsopoulos,Μητσόπουλος
Leventis,Λεβέντης
Kapsali,Καψάλη
Panagou,Παναγού
Dimitrova,Δημητρόβα
Karydis,Καρύδης
Papapanagiotou,Παπαπαναγιώτου
Stavrakakis,Σταυρακάκης
Chatzidaki,Χατζηδάκη
Karagiannidou,Καραγιαννίδου
Katsigiannis,Κατσιγιάννης
Panagiotakis,Παναγιωτάκης
Ioakeimidis,Ιωακειμίδης
Maniati,Μανιάτη
Psarra,Ψάρρα
Bekiaris,Μπεκιάρης
Thoma,Θωμά
Charisis,Χαρίσης
Kyriakos,Κυριάκος
Gkekas,Γκέκας
Varelas,Βαρέλας
Kitsios,Κίτσιος
Politou,Πολίτου
Nikolakopoulou,Νικολακοπούλου
Tsaousis,Τσαούσης
Zotos,Ζώτος
Arvanitidis,Αρβανιτίδης
Thomopoulos,Θωμόπουλος
Balla,Μπάλλα
Angelaki,Αγγελάκη
Kampouri,Καμπούρη
Giannakakis,Γιαννακάκης
Boura,Μπούρα
Melas,Μελάς
Stavridou,Σταυρίδου
Sigala,Σιγάλα
Alexaki,Αλεξάκη
Dionysopoulos,Διονυσόπουλος
Chasapis,Χασάπης
Delis,Δελής
Kalogerakis,Καλογεράκης
Mavromati,Μαυρομάτη
Koukos,Κούκος
Sfakianaki,Σφακιανάκη
Chalkidis,Χαλκίδης
Nakou,Νάκου
Triantafyllopoulos,Τριανταφυλλόπουλος
Kalyva,Καλύβα
Stefanopoulos,Στεφανόπουλος
Zachariou,Ζαχαρίου
Mavrommatis,Μαυρομμάτης
Zacharioudakis,Ζαχαριουδάκης
Mallios,Μάλλιος
Kypraios,Κυπραίος
Christoforidou,Χριστοφορίδου
Poulis,Πουλής
Akritidis,Ακριτίδης
Karakosta,Καρακώστα
Charitou,Χαρίτου
Metaxa,Μεταξά
Mouratidou,Μουρατίδου
Tsakonas,Τσάκωνας
Moraitou,Μωραΐτου
Kanaki,Κανάκη
Moschopoulos,Μοσχόπουλος
Mouzakis,Μουζάκης
Zafeiri,Ζαφείρη
Christodoulopoulos,Χριστοδουλόπουλος
Lymperopoulou,Λυμπεροπούλου
Tasios,Τάσιος
Baka,Μπάκα
Papaefthymiou,Παπαευθυμίου
Galanos,Γαλανός
Efthymiadou,Ευθυμιάδου
Tsiaras,Τσιάρας
Palaiologos,Παλαιολόγος
Kontopoulos,Κοντόπουλος
Gogos,Γκόγκος
Paschali,Πασχάλη
Kosta,Κώστα
Andreadou,Ανδρεάδου
Papadatou,Παπαδάτου
Koutsogiannis,Κουτσογιάννης
Polyzou,Πολύζου
Dimitrov,Δημητρόφ
Mitsis,Μήτσης
Konstas,Κώνστας
Dimakopoulos,Δημακόπουλος
Charalampopoulou,Χαραλαμποπούλου
Griva,Γρίβα
Papaspyrou,Παπασπύρου
Vlachaki,Βλαχάκη
Vidalis,Βιδάλης
Stratis,Στρατής
Tzima,Τζίμα
Zacharaki,Ζαχαράκη
Manikas,Μανίκας
Daniil,Δανιήλ
Tolis,Τόλης
Grigoropoulos,Γρηγορόπουλος
Iakovidis,Ιακωβίδης
Karachaliou,Καραχάλιου
Voudouris,Βουδούρης
Vergos,Βέργος
Daskalopoulos,Δασκαλόπουλος
Orfanou,Ορφανού
Komninos,Κομνηνός
Ladas,Λαδάς
Alexandropoulou,Αλεξανδροπούλου
Arvanitaki,Αρβανιτάκη
Peppa,Πέππα
Roumelioti,Ρουμελιώτη
Argyrou,Αργυρού
Mavros,Μαύρος
Rigopoulos,Ρηγόπουλος
Fotis,Φώτης
Demertzis,Δεμερτζής
Theodoraki,Θεοδωράκη
Andreopoulos,Ανδρεόπουλος
Fragkouli,Φραγκούλη
Katsanos,Κατσάνος
Chantzis,Χαντζής
Papas,Παπάς
Kostoulas,Κωστούλας
Stathakis,Σταθάκης
Katsouli,Κατσούλη
Stasinopoulos,Στασινόπουλος
Makridou,Μακρίδου
Parisis,Παρίσης
Fountas,Φούντας
Georgieva,Γκεοργκίεβα
Kostaki,Κωστάκη
Mathioudaki,Μαθιουδάκη
Pateraki,Πατεράκη
Gounaris,Γούναρης
Tsolis,Τσόλης
Karadimas,Καραδήμας
Zachou,Ζάχου
Kazakos,Καζάκος
Georgiev,Γκεοργκίεφ
Papoutsakis,Παπουτσάκης
Balaskas,Μπαλάσκας
Kalfas,Κάλφας
Oikonomopoulou,Οικονομοπούλου
Lazos,Λάζος
Galanakis,Γαλανάκης
Mavropoulou,Μαυροπούλου
Exarchou,Εξάρχου
Spiliopoulou,Σπηλιοπούλου
Filippidou,Φιλιππίδου
Theologou,Θεολόγου
Tsolaki,Τσολάκη
Karadimos,Καραδήμος
Tsagkaraki,Τσαγκαράκη
Moysidis,Μωυσίδης
Pantelidou,Παντελίδου
Zioga,Ζιώγα
Adamidou,Αδαμίδου
Kondylis,Κονδύλης
Syrigos,Συρίγος
Antonakis,Αντωνάκης
Kara,Καρά
Sifakis,Σηφάκης
Tzavaras,Τζαβάρας
Chroni,Χρόνη
Kyrou,Κύρου
Goula,Γούλα
Michopoulos,Μιχόπουλος
Pallas,Πάλλας
Karanikas,Καρανίκας
Tsonis,Τσώνης
Gavala,Γαβαλά
Kourtidis,Κουρτίδης
Theocharidis,Θεοχαρίδης
Gkotsi,Γκότση
Mavrogiannis,Μαυρογιάννης
Poulopoulos,Πουλόπουλος
Dritsas,Δρίτσας
Tsami,Τσάμη
Ballas,Μπάλλας
Kolokythas,Κολοκυθάς
Marinis,Μαρίνης
Manou,Μάνου
Keramidas,Κεραμίδας
Sakka,Σακκά
Laskaris,Λάσκαρης
Iordanidou,Ιορδανίδου
Karavasili,Καραβασίλη
Vasilakos,Βασιλάκος
Pantos,Πάντος
Milios,Μίλιος
Kostis,Κωστής
Kanellos,Κανέλλος
Fokas,Φωκάς
Matsoukas,Ματσούκας
Karathanasi,Καραθανάση
Skiadas,Σκιάδας
Chalil,Χαλίλ
Toska,Τόσκα
Georgoulas,Γεωργούλας
Manousaki,Μανουσάκη
Kourti,Κούρτη
Schoinas,Σχοινάς
Orfanidou,Ορφανίδου
Almpanis,Αλμπάνης
Farmaki,Φαρμάκη
Efstratiou,Ευστρατίου
Karampela,Καράμπελα
Galanopoulou,Γαλανοπούλου
Seretis,Σερέτης
Kalogianni,Καλογιάννη
Karageorgou,Καραγεώργου
Paschou,Πάσχου
Anagnostakis,Αναγνωστάκης
Lagou,Λαγού
Thanou,Θάνου
Mamalis,Μάμαλης
Amet,Αμέτ
Pallis,Πάλλης
Stefanis,Στεφανής
Katopodis,Κατωπόδης
Nastos,Νάστος
Gavriilidou,Γαβριηλίδου
Mastorakis,Μαστοράκης
Panagos,Πανάγος
Petsas,Πέτσας
Alexandrakis,Αλεξανδράκης
Koutsoukos,Κουτσούκος
Savva,Σάββα
Liakopoulou,Λιακοπούλου
Argyri,Αργυρή
Polychronopoulos,Πολυχρονόπουλος
Sgouros,Σγούρος
Tzanis,Τζάνης
Lappa,Λάππα
Milionis,Μηλιώνης
Tselepis,Τσελεπής
Mavroudi,Μαυρούδη
Raftopoulou,Ραφτοπούλου
Grammatikos,Γραμματικός
Markos,Μάρκος
Maris,Μαρής
Mitsou,Μήτσου
Chatzoglou,Χατζόγλου
Chalaris,Χαλάρης
Sarantopoulos,Σαραντόπουλος
Giakoumakis,Γιακουμάκης
Chondros,Χόνδρος
Pouliou,Πούλιου
Andreadakis,Ανδρεαδάκης
Manolopoulos,Μανολόπουλος
Giannis,Γιάννης
Boukouvalas,Μπουκούβαλας
Georgiopoulos,Γεωργιόπουλος
